variable,ic_mean,ic_std,ic_tstat,ic_n_months,oos_r2_univariate
aliq_at,-0.012363389949803103,0.07049698825933658,-1.446177032874503,68,-0.0006675716929611664
sale_gr3,-0.006757509769810392,0.03834098976005687,-1.453375446040139,68,-0.0005971797934771761
ni_ar1,-0.003382120006411887,0.018930106339363654,-1.4732973787847885,68,-0.000586272970385604
debt_gr3,-0.005752442448911591,0.031780873857063345,-1.4925912942999753,68,-0.0006008116766420546
ncoa_gr1a,-0.008403657716120193,0.04621234840568604,-1.4995631947082413,68,-0.0006354043438310253
kz_index,-0.010340592608530928,0.053077388048292894,-1.6065355558816172,68,-0.000682566820349173
beta_dimson_21d,-0.015558171193689815,0.07982858395796706,-1.6071432059173587,68,-0.0005791613270582641
lnoa_gr1a,-0.008158747910458286,0.03941869778890712,-1.706772739563883,68,-0.00059478237273769
at_gr1,-0.013874542606290697,0.06266642359963955,-1.8257370179075652,68,-0.0006631580873699416
capx_gr3,-0.008206424457020845,0.03700851677350807,-1.8285496309957445,68,-0.000601919864634981
capx_gr2,-0.008647155876197266,0.03811416026882678,-1.8708604249587588,68,-0.0005996331269009225
noa_gr1a,-0.008749109671046192,0.036834605150280364,-1.9586746298303603,68,-0.0005913830207180393
nncoa_gr1a,-0.009410148350182834,0.03927923805207577,-1.9755492990519046,68,-0.0005852868519293786
emp_gr1,-0.0124316437874854,0.05171042545397297,-1.9824621432086,68,-0.0006447860968117336
dsale_drec,-0.00578327927482893,0.02372149778198381,-2.0104186954565098,68,-0.0005704484185382608
taccruals_ni,-0.00721211865198039,0.029402160554814417,-2.022730739883214,68,-0.0005759392191930779
cash_at,-0.027055219163533126,0.10416906782580433,-2.141739936120444,68,-0.0006606931235655367
rd_me,-0.022203315667352053,0.0844307983834364,-2.16855975516592,68,-0.0006520912736545093
rd5_at,-0.019696158083972414,0.0731825705561714,-2.2193628778521535,68,-0.0006525101006085166
earnings_variability,-0.011597255754854955,0.04013497814320996,-2.382794891475923,68,-0.0005746840099558614
rd_sale,-0.025480531672986778,0.08009895930255434,-2.623228176730392,68,-0.0006084892895663607
ami_126d,-0.02692785168403443,0.08004400472032878,-2.774133482005629,68,-0.0005149400571333729
ni_ivol,-0.02970823882334018,0.08751196807002377,-2.799393256056014,68,-0.0004502361560130286
ocfq_saleq_std,-0.024009090638696984,0.07070093392477216,-2.800302943203161,68,-0.0005300941413528548
iskew_capm_21d,-0.012975119679464688,0.038067609605204056,-2.810672353651006,68,-0.0005726004469521762
eq_dur,-0.031882990588491734,0.09254252731717598,-2.8410060037884155,68,-0.00040065517556042707
iskew_hxz4_21d,-0.011869139753460222,0.03444166537616336,-2.8417741334078013,68,-0.0005681371526722323
rmax5_21d,-0.05110007644373816,0.13462904164158918,-3.1299489335380266,68,-9.055179561512361e-05
ivol_capm_252d,-0.05516588154876783,0.14438864354778985,-3.1505906692807044,68,-7.90816959927998e-05
rmax1_21d,-0.05065068380936094,0.12882584195534555,-3.2421774418232996,68,-0.00014137932619684435
rvol_21d,-0.05736871131516597,0.145417623988476,-3.253213054515887,68,-2.0730541556712723e-05
fnl_gr1a,-0.011036071630079886,0.027671320134632554,-3.2888123010619834,68,-0.0006035891941615912
bidaskhl_21d,-0.056098767843024595,0.13952110657910816,-3.3156437897465585,68,-4.534940536360388e-05
turnover_126d,-0.04372473099700655,0.10870692127230791,-3.316839116449188,68,-0.0003575288378647734
rskew_21d,-0.016367985961266124,0.040644747226915634,-3.32081952042434,68,-0.0005395972090067591
ivol_capm_21d,-0.05748053188032363,0.13942658063830984,-3.399614381622987,68,1.419364134125356e-05
ivol_hxz4_21d,-0.05477527831271579,0.13281595477456573,-3.400860364092051,68,5.387388709809926e-06
ivol_ff3_21d,-0.05535805411169446,0.13400167764147483,-3.4066305489376885,68,1.2182682334493933e-05
iskew_ff3_21d,-0.013806960142045101,0.0331828746539807,-3.431140648781362,68,-0.0005622730999434999
oaccruals_ni,-0.016890280827437418,0.03959249789850415,-3.5178589679485937,68,-0.0005423985203401038
opex_at,-0.02330455685618089,0.053358797872103236,-3.6015485096406876,68,-0.0005828441714550436
o_score,-0.04559306654425327,0.10386140957278135,-3.619920621740448,68,-0.00020323362439045312
dolvol_var_126d,-0.04287905988207919,0.09254931096415507,-3.8205555758156002,68,-0.0003735214162878808
dbnetis_at,-0.02092134510757098,0.04501581170616464,-3.832471855514782,68,-0.0006213665987233608
turnover_var_126d,-0.04178733091343403,0.08792586679659667,-3.919064672226707,68,-0.00040976817538984633
eqnetis_at,-0.05381064720885479,0.10244127071499234,-4.3315937156270765,68,-5.7389457081225004e-05
chcsho_12m,-0.0576167300869301,0.10325955124641199,-4.601218213397386,68,2.1396135497786517e-05
netis_at,-0.052798105993196405,0.09394611788019781,-4.634404757844523,68,-0.00022687980861890722
