utc,experiment,family,variant,hypothesis,params,discovery_window,selection_window,eval_window,test_touched,n_variants_in_family,ic,ic_t,ir_net,ir_gross,max_dd_net,paired_net_t_vs_base,decision,reason
2026-09-24T18:27:37+00:00,desk_30_text_untested_uses,text_untested_book,X1b_surprise_fresh_only,untested text use as book rule,{},dev,dev,dev,False,3,0.0120,0.8152,-0.8672,-0.7382,-0.2570,-1.6836,rejected,
2026-09-24T18:27:37+00:00,desk_30_text_untested_uses,text_untested_book,X2b_bar_merger,untested text use as book rule,{},dev,dev,dev,False,3,0.0131,0.8707,-0.7571,-0.6259,-0.2521,-1.0526,rejected,
2026-09-24T18:27:38+00:00,desk_30_text_untested_uses,text_untested_book,X3b_bar_news,untested text use as book rule,{},dev,dev,dev,False,3,0.0131,0.8707,-0.9058,-0.7318,-0.1466,0.5157,no evidence,
2026-09-24T18:28:31+00:00,desk_30_text_untested_uses,text_followup,Y1_fresh_surprise_x2,second-stage conditional weighting (post X1/X2),{},dev,dev,dev,False,2,0.0152,1.0229,-0.5599,-0.4255,-0.2150,1.1507,no evidence,
2026-09-24T18:28:31+00:00,desk_30_text_untested_uses,text_followup,Y2_Y1_plus_merger_noview,second-stage conditional weighting (post X1/X2),{},dev,dev,dev,False,2,0.0167,1.1589,-0.4334,-0.2963,-0.2092,2.3007,promising,
2026-09-24T18:34:56+00:00,desk_32_text_confirmation,second_look,A0,text-conditional factor weighting (PREREGISTRATION.md),"{""arm"": ""A0""}",dev,dev,test,True,3,0.0454,2.3942,0.6598,0.7431,-0.0960,nan,reference,second pre-registered TEST look (Bonferroni x2)
2026-09-24T18:34:56+00:00,desk_32_text_confirmation,second_look,Y1,text-conditional factor weighting (PREREGISTRATION.md),"{""arm"": ""Y1""}",dev,dev,test,True,3,0.0440,2.4476,0.6568,0.7451,-0.0948,-0.5179,fail,second pre-registered TEST look (Bonferroni x2)
2026-09-24T18:34:57+00:00,desk_32_text_confirmation,second_look,Y2,text-conditional factor weighting (PREREGISTRATION.md),"{""arm"": ""Y2""}",dev,dev,test,True,3,0.0434,2.4897,0.7375,0.8289,-0.0850,0.1183,fail,second pre-registered TEST look (Bonferroni x2)
2026-09-24T18:34:57+00:00,desk_32_text_confirmation,second_look_replication,R1_fresh_minus_stale_surprise_ic,conditional text structure,{},dev,dev,test,True,3,0.0154,1.7661,,,,,not replicated,second pre-registered TEST look
2026-09-24T18:34:57+00:00,desk_32_text_confirmation,second_look_replication,R2_nonmerger_minus_merger_b1_ic,conditional text structure,{},dev,dev,test,True,3,0.0146,0.7966,,,,,not replicated,second pre-registered TEST look
2026-09-24T18:34:57+00:00,desk_32_text_confirmation,second_look_replication,R3_book_text_risk,conditional text structure,{},dev,dev,test,True,3,-0.1258,-1.0300,,,,,not replicated,second pre-registered TEST look
2026-09-24T22:47:20+00:00,desk_31_llm_filing_reader,llm_reader,H1,local LLM on masked 8-Ks (qwen3.5 9B q4),"{""model"": ""qwen3.5:9b-q4_K_M"", ""prompt"": ""d2""}",dev,none,dev,False,4,0.0307,1.3528,,,,,fail,
2026-09-24T22:47:20+00:00,desk_31_llm_filing_reader,llm_reader,H2,local LLM on masked 8-Ks (qwen3.5 9B q4),"{""model"": ""qwen3.5:9b-q4_K_M"", ""prompt"": ""d2""}",dev,none,dev,False,4,0.0303,1.3617,,,,,fail,
2026-09-24T22:47:20+00:00,desk_31_llm_filing_reader,llm_reader,H3,local LLM on masked 8-Ks (qwen3.5 9B q4),"{""model"": ""qwen3.5:9b-q4_K_M"", ""prompt"": ""d2""}",dev,none,dev,False,4,-0.0362,-1.8471,,,,,fail,
2026-09-24T22:47:20+00:00,desk_31_llm_filing_reader,llm_reader,H4,local LLM on masked 8-Ks (qwen3.5 9B q4),"{""model"": ""qwen3.5:9b-q4_K_M"", ""prompt"": ""d2""}",dev,none,dev,False,4,0.0100,0.4463,,,,,fail,
2026-09-24T22:57:33+00:00,desk_33_agents_on_pipeline,agents,explainer+devil,"LLM agents on top of the pipeline (verified, no capital effect)","{""model"": ""qwen3.5:9b-q4_K_M""}",n/a,n/a,test (holdings only),True,1,,,,,,,process,agents read formation-month fields / result JSON only; no selection
2026-09-24T23:00:07+00:00,desk_33_agents_on_pipeline,agents,devil_rerun,devil's advocate re-run (num_predict 1200),{},n/a,n/a,n/a (result JSONs),False,1,,,,,,,process,
